date,nav,scheme_name,scheme_code
02-06-2026,104.76630,SBI Bluechip,119551
01-06-2026,104.70250,SBI Bluechip,119551
29-05-2026,104.65700,SBI Bluechip,119551
27-05-2026,104.58330,SBI Bluechip,119551
26-05-2026,104.52690,SBI Bluechip,119551
25-05-2026,104.52150,SBI Bluechip,119551
22-05-2026,104.34670,SBI Bluechip,119551
21-05-2026,104.28500,SBI Bluechip,119551
20-05-2026,104.38260,SBI Bluechip,119551
19-05-2026,104.42160,SBI Bluechip,119551
18-05-2026,104.37910,SBI Bluechip,119551
15-05-2026,104.59680,SBI Bluechip,119551
14-05-2026,104.73180,SBI Bluechip,119551
13-05-2026,104.73710,SBI Bluechip,119551
12-05-2026,104.75850,SBI Bluechip,119551
11-05-2026,104.80530,SBI Bluechip,119551
08-05-2026,104.86960,SBI Bluechip,119551
07-05-2026,104.87620,SBI Bluechip,119551
06-05-2026,104.80430,SBI Bluechip,119551
05-05-2026,104.61660,SBI Bluechip,119551
04-05-2026,104.65440,SBI Bluechip,119551
30-04-2026,104.57060,SBI Bluechip,119551
29-04-2026,104.65940,SBI Bluechip,119551
28-04-2026,104.74280,SBI Bluechip,119551
27-04-2026,104.77710,SBI Bluechip,119551
24-04-2026,104.70910,SBI Bluechip,119551
23-04-2026,104.76520,SBI Bluechip,119551
22-04-2026,104.84730,SBI Bluechip,119551
21-04-2026,104.84700,SBI Bluechip,119551
20-04-2026,104.83690,SBI Bluechip,119551
17-04-2026,104.78210,SBI Bluechip,119551
16-04-2026,104.79590,SBI Bluechip,119551
15-04-2026,104.79010,SBI Bluechip,119551
13-04-2026,104.61130,SBI Bluechip,119551
10-04-2026,104.59560,SBI Bluechip,119551
09-04-2026,104.51500,SBI Bluechip,119551
08-04-2026,104.39190,SBI Bluechip,119551
07-04-2026,103.99180,SBI Bluechip,119551
06-04-2026,103.91420,SBI Bluechip,119551
02-04-2026,103.88130,SBI Bluechip,119551
31-03-2026,104.01160,SBI Bluechip,119551
30-03-2026,103.99210,SBI Bluechip,119551
27-03-2026,103.91020,SBI Bluechip,119551
25-03-2026,103.97130,SBI Bluechip,119551
24-03-2026,103.98160,SBI Bluechip,119551
23-03-2026,110.66250,SBI Bluechip,119551
20-03-2026,110.93520,SBI Bluechip,119551
18-03-2026,110.99850,SBI Bluechip,119551
17-03-2026,110.93160,SBI Bluechip,119551
16-03-2026,110.91590,SBI Bluechip,119551
13-03-2026,110.92870,SBI Bluechip,119551
12-03-2026,110.98980,SBI Bluechip,119551
11-03-2026,111.10720,SBI Bluechip,119551
10-03-2026,111.04840,SBI Bluechip,119551
09-03-2026,110.91930,SBI Bluechip,119551
06-03-2026,111.03950,SBI Bluechip,119551
05-03-2026,111.05340,SBI Bluechip,119551
04-03-2026,110.94990,SBI Bluechip,119551
02-03-2026,111.06530,SBI Bluechip,119551
27-02-2026,111.02610,SBI Bluechip,119551
26-02-2026,111.00690,SBI Bluechip,119551
25-02-2026,110.98260,SBI Bluechip,119551
24-02-2026,110.93940,SBI Bluechip,119551
23-02-2026,110.88290,SBI Bluechip,119551
20-02-2026,110.80700,SBI Bluechip,119551
18-02-2026,110.86130,SBI Bluechip,119551
17-02-2026,110.86820,SBI Bluechip,119551
16-02-2026,110.84090,SBI Bluechip,119551
13-02-2026,110.75840,SBI Bluechip,119551
12-02-2026,110.63090,SBI Bluechip,119551
11-02-2026,110.50560,SBI Bluechip,119551
10-02-2026,110.42930,SBI Bluechip,119551
09-02-2026,110.42330,SBI Bluechip,119551
06-02-2026,110.41730,SBI Bluechip,119551
05-02-2026,110.59850,SBI Bluechip,119551
04-02-2026,110.44770,SBI Bluechip,119551
03-02-2026,110.29600,SBI Bluechip,119551
02-02-2026,110.15370,SBI Bluechip,119551
30-01-2026,110.19030,SBI Bluechip,119551
29-01-2026,110.09220,SBI Bluechip,119551
28-01-2026,110.08550,SBI Bluechip,119551
27-01-2026,110.10780,SBI Bluechip,119551
23-01-2026,110.07660,SBI Bluechip,119551
